IMO_Number,MMSI,Ship_Name,Ship_Type,DWT,Capacity,Fuel_Type,Service_Speed,Year_Built,Flag_Country
9800001,259239353,Terra Guardian 98,Bulk Carrier - Capesize Class,195900.0,182700.0,Bio-Methanol,13.6,2025,Singapore
9800002,249957816,Nordic Hydro 34,Bulk Carrier - Panamax Class,75200.0,71400.0,Bio-Methanol,14.9,2016,Singapore
9800003,238169370,Titan Trader 89,Bulk Carrier - Supramax Class,55300.0,52100.0,Ammonia,14.1,2024,Marshall Islands
9800004,237732020,Aurora Guardian 73,Bulk Carrier - Handysize Class,30300.0,27800.0,Biofuel (B30),13.5,2019,Hong Kong
9800005,286871268,Zephyr Frost 87,"Container - Ultra Large (24,000 TEU)",232600.0,211200.0,Hydrogen,18.8,2015,Hong Kong
9800006,298032908,Global Voyager 32,"Container - Neo-Panamax (15,000 TEU)",135100.0,124200.0,LSMGO,18.3,2025,Denmark
9800007,275694038,Global Trader 81,"Container - Post-Panamax (8,500 TEU)",88100.0,81500.0,Bio-Methanol,18.6,2016,Denmark
9800008,279204468,Titan Mariner 89,"Container - Panamax (5,000 TEU)",73700.0,68000.0,Bio-Methanol,17.3,2015,Liberia
9800009,271532017,Emerald Wind 9,"Container - Feeder Max (3,500 TEU)",46900.0,43300.0,Bio-Methanol,16.8,2022,Hong Kong
9800010,253334226,Solaris Wave 71,"Container - Regional Feeder (1,800 TEU)",23800.0,22200.0,Bio-Methanol,16.3,2025,Panama
9800011,216166355,Eco Navigator 59,Tanker - VLCC Class,280700.0,268300.0,LSMGO,14.9,2015,Denmark
9800012,237154689,Poseidon Voyager 84,Tanker - Suezmax Class,147500.0,140500.0,LNG,14.4,2020,Hong Kong
9800013,221062296,Neptune Navigator 22,Tanker - Aframax Class,96300.0,90300.0,Ammonia,14.7,2018,Denmark
9800014,297977738,Pacific Harvest 1,Tanker - MR2 Chemical Class,44800.0,40500.0,Biofuel (B30),13.9,2025,Greece
9800015,211246473,Ocean Wave 16,Reefer - Arctic Pioneer,24900.0,23000.0,LSMGO,18.0,2018,Denmark
9800016,221989814,Titan Harvest 14,Reefer - Nordic Carrier,13900.0,13200.0,LSMGO,17.4,2017,Netherlands
9800017,229173414,Pacific Frost 73,General Cargo - Multi-Purpose Heavy Lift,28100.0,26400.0,Bio-Methanol,15.1,2018,Netherlands
